village_name,rainfall_current,rainfall_average,groundwater_depth,population,storage_capacity,current_storage,latitude,longitude,historical_rainfall,historical_groundwater
Village A1,380,720,195,4200,400000,150000,18.512345,73.912345,700,200
Village B1,620,750,170,5800,500000,250000,18.523456,73.923456,740,180
Village C1,290,680,210,3100,350000,120000,18.534567,73.934567,680,210
Village D1,450,700,180,4700,420000,200000,18.545678,73.945678,710,190
Village E1,500,730,160,5200,450000,220000,18.556789,73.956789,720,170
Village F1,390,710,200,4000,380000,140000,18.567890,73.967890,700,200
Village G1,610,760,175,6000,500000,260000,18.578901,73.978901,750,180
Village H1,320,690,205,3300,360000,130000,18.589012,73.989012,690,210
Village I1,470,720,185,4800,430000,210000,18.590123,74.000123,710,190
Village J1,520,740,165,5500,470000,240000,18.601234,74.011234,730,170
Village K1,400,710,198,4300,410000,160000,18.612345,74.022345,705,200
Village L1,605,755,172,5900,495000,255000,18.623456,74.033456,745,180
Village M1,310,680,208,3200,360000,125000,18.634567,74.044567,685,210
Village N1,455,705,182,4650,425000,205000,18.645678,74.055678,715,190
Village O1,505,735,162,5100,450000,225000,18.656789,74.066789,725,170
Village P1,395,710,202,4100,385000,145000,18.667890,74.077890,700,200
Village Q1,615,765,177,6050,505000,265000,18.678901,74.088901,755,180
Village R1,325,690,207,3350,365000,135000,18.689012,74.099012,690,210
Village S1,475,725,183,4850,435000,215000,18.690123,74.110123,715,190
Village T1,525,745,167,5550,475000,245000,18.701234,74.121234,735,170
Village U1,405,715,196,4400,415000,165000,18.712345,74.132345,710,200
Village V1,610,760,174,6000,500000,260000,18.723456,74.143456,750,180
Village W1,315,685,209,3250,355000,128000,18.734567,74.154567,685,210
Village X1,460,720,180,4700,430000,210000,18.745678,74.165678,710,190
Village Y1,510,735,163,5200,455000,230000,18.756789,74.176789,725,170
Village Z1,385,705,201,4050,390000,150000,18.767890,74.187890,700,200
Village A2,600,755,175,5950,495000,250000,18.778901,74.198901,745,180
Village B2,330,690,206,3400,370000,138000,18.789012,74.209012,690,210
Village C2,480,725,182,4900,440000,220000,18.790123,74.220123,715,190
Village D2,530,745,165,5600,470000,240000,18.801234,74.231234,735,170
Village E2,410,715,197,4450,420000,170000,18.812345,74.242345,710,200
Village F2,620,765,176,6100,505000,265000,18.823456,74.253456,755,180
Village G2,320,685,208,3300,360000,130000,18.834567,74.264567,685,210
Village H2,465,725,184,4800,435000,215000,18.845678,74.275678,715,190
Village I2,515,740,166,5250,460000,235000,18.856789,74.286789,730,170
Village J2,395,710,200,4150,395000,155000,18.867890,74.297890,700,200
Village K2,605,755,173,5950,500000,255000,18.878901,74.308901,745,180
Village L2,310,680,210,3200,355000,125000,18.889012,74.319012,680,210
Village M2,450,705,181,4600,425000,200000,18.890123,74.330123,715,190
Village N2,505,735,164,5100,455000,225000,18.901234,74.341234,725,170
Village O2,390,710,199,4050,390000,150000,18.912345,74.352345,705,200
Village P2,615,765,177,6050,505000,265000,18.923456,74.363456,755,180
Village Q2,325,690,207,3350,365000,135000,18.934567,74.374567,690,210
Village R2,470,720,183,4850,440000,215000,18.945678,74.385678,715,190
Village S2,525,745,168,5550,475000,245000,18.956789,74.396789,735,170
Village T2,400,715,196,4450,420000,165000,18.967890,74.407890,710,200